id,review_title,rating_title
tt0034583,The Fundamental Things Apply...,10/10
tt0034583,HOW TO WATCH THIS MOVIE,10/10
tt0034583,".....it's still the same old story, a fight for love and glory, a case of do or die, the world will always welcome lovers, As Time Goes By.""",10/10
tt0034583,A masterwork for all time...,10/10
tt0034583,"We'll always have ""Casablanca"" ...",10/10
tt0034583,Here's looking at Ingrid Bergman,10/10
tt0034583,"As time goes by, it's still one of the all-time greats...",10/10
tt0034583,Now I finally know why this one is one of the best,10/10
tt0034583,A Classic Worth Remembering,10/10
tt0034583,A perfect film.,10/10
tt0034583,Wartime Themes,10/10
tt0034583,A Perfect Film But Let's Clear Up A Few Rumors,10/10
tt0034583,Greatest Film Ever for Me,10/10
tt0034583,One of the best black and white films I have ever had the privilege of watching!,10/10
tt0034583,"Of all the classics in all the films in all the world, this is the best!",10/10
tt0034583,Cinema par Excellence!,10/10
tt0034583,"""It seems destiny has taken a hand.""",10/10
tt0034583,"For all-around entertainment, the best I've ever seen",10/10
tt0034583,We'll Always Have Casablanca,10/10
tt0034583,"The writing, the character actors, the lighting, and then, for dessert, some romance, too. Oh, and America goes to war at last.",10/10
tt0032138,Still Has Its Magic,10/10
tt0032138,My childhood favourite!,10/10
tt0032138,Timeless classic still entertaining the masses as each new generation comes in.,10/10
tt0032138,Perhaps the most well known and watched film in history?,10/10
tt0032138,A magical experience.,10/10
tt0032138,Flawless,10/10
tt0032138,A fantasy rooted in the landscape of your childhood.,10/10
tt0032138,Finding Her Way Back Home -- To Our Hearts.,10/10
tt0032138,Garland's Oz.,10/10
tt0032138,Fantasy Classic,10/10
tt0032138,A true cinematic milestone,10/10
tt0032138,a milestone,10/10
tt0032138,A Great and Powerful Film,10/10
tt0032138,An Endurable Fantasy...Will Continue To Last For Many Years Yet...,10/10
tt0032138,An enchanting film with flaws that cannot seriously mar its durable delights,10/10
tt0032138,I wish I could have followed the yellow brick road.,8/10
tt0032138,"Click your heels, fly out of Kansas, and go where nobody mourns the wicked.",10/10
tt0032138,Movie that left mark on countless generations,10/10
tt0032138,Timeless,10/10
tt0033467,"CITIZEN KANE may let some people down, but it's still worth seeing.",10/10
tt0033467,"A great piece of cinema, a magnificent example of storytelling",9/10
tt0033467,Is a childhood worth sacrificing for wealth,10/10
tt0033467,The Citizen Kane of Movies,10/10
tt0033467,An Expert On What People Will Think,8/10
tt0033467,All That Ballyhoo!,10/10
tt0033467,"Why Is ""Citizen Kane"" the Best Film of All Times?",10/10
tt0033467,"While it is an example of a film I admire rather than adore, I can see why this film is seen as a classic",10/10
tt0033467,"It may not even be the best in history, but it sure is the most revolutionary.",6/10
tt0033467,Wonderful Cinematography,10/10
tt0033467,The march of time...,7/10
tt0033467,A textbook I would have liked to study in school...,10/10
tt0033467,"Essential viewing for fans of classic cinema (along with films like The Godfather, 2001: A Space Odyssey, and Babe: Pig in the City).",8/10
tt0033467,Citizen Welles,1/10
tt0033467,Love The Cinematography; Story Not That Appealing,10/10
tt0033467,i hate to say this but i was underwhelmed by this movie,10/10
tt0033467,A must film for any film maker,10/10
tt0033467,"One of the great films, if not ""the"" greatest.",9/10
tt0033467,One of the Greats!,9/10
tt0033467,A true original,7/10
tt0033467,A very solid movie with some mystery,10/10
tt0033467,Giant of its field,10/10
tt0037059,"""Don't Tell Me The Lights Are Shining Any Place But There""",9/10
tt0037059,Minnelli Directs Garland In MGM Classic,8/10
tt0037059,A Feel Good Movie if Ever There Was One,10/10
tt0037059,A bit of cake and a song to blow away the wind of change.,9/10
tt0037059,There's no place like home...,8/10
tt0037059,A Very Pleasant And Easy To Watch Movie,7/10
tt0037059,Too sweet? Perhaps...but not too syrupy!,9/10
tt0037059,Judy Garland never looked better,10/10
tt0037059,There's no place like home,10/10
tt0037059,A Musical Classic,7/10
tt0037059,Garland Front and Center!,10/10
tt0037059,Meet Me in St. Louis is still one of the greatest movie musicals ever made!,9/10
tt0037059,A Treasure to Be Enjoyed,9/10
tt0037059,A merry little-big charmer of a musical,10/10
tt0037059,Meet Me in St. Louis,9/10
tt0037059,"""I wish they would all meet at the fair and leave me alone.""",9/10
tt0037059,My sentimental favorite,10/10
tt0037059,Judy Garland at her best!,8/10
tt0037059,Laughs and Tears Rolled into One,10/10
tt0037059,There was no MGM actress like Judy Garland,8/10
tt0037059,Remarkable Achievement in Musical Comedies and Film,9/10
tt0037059,How have I missed seeing this film?,6/10
tt0037059,One of my all time favorite films and maybe my all time favorite Christmas song.,8/10
tt6422744,My favourite way to kill time.,8/10
tt0031381,Georgia on my mind,10/10
tt0031381,Scarlett's So High Spirited And Vivacious,10/10
tt0031381,About as good as it gets in 1930s Hollywood,10/10
tt0031381,The tragedy of Scarlet the wise 2020 review,10/10
tt0031381,A Tempestuous Hurricane of a Tornado...,9/10
tt0031381,"A Potpourri of Vestiges Review: An American magnum opus which must be watched and often, and by those who understand cinema",10/10
tt0031381,"Margaret Mitchell won the Pulitzer Prize for her novel on May 3rd, 1937",9/10
tt0031381,Miracle in Film Making - Can't believe they did it in 1939!,10/10
tt0031381,All-time classic,9/10
tt0031381,"A sweeping epic film, that in my eyes is outstanding!",10/10
tt0031381,A rich romantic film...,9/10
tt0031381,A universal masterpiece and one of the few privileged films where every scene is a classic on its own ...,10/10
tt0031381,Even after years of being made.. it is good!,8/10
tt0031381,Golden age of Hollywood (even with the whitewashing),10/10
tt0031381,One of the Greatest,10/10
tt0031381,There's never going to be a movie like this,10/10
tt0031381,Love in troubled times,9/10
tt0031381,Gone With The Wind,10/10
tt0031381,A great American classic,10/10
tt0031381,Entertainment,10/10
