person_id,name
14701,Humphrey Bogart
14702,Ingrid Bergman
14703,Paul Henreid
14704,Claude Rains
14705,Conrad Veidt
14706,Sydney Greenstreet
1367,Peter Lorre
14716,S.Z. Sakall
14707,Madeleine Lebeau
14708,Dooley Wilson
14709,Joy Page
14710,John Qualen
14711,Leonid Kinskey
14712,Curt Bois
14718,Enrique Acosta
14719,Ed Agresti
14720,Louis V. Arco
14721,Frank Arnold
14723,Leon Belasco
14724,Nino Bellini
14725,Oliver Blake
14726,Monte Blue
14727,Eugene Borden
14728,Dick Botiller
14729,Maurice Brierre
5898,Sebastian Cabot
14730,Anita Camargo
14731,George M. Carleton
14733,Spencer Chan
14734,Melie Chang
14796,Tex Cooper
13367,Gino Corrado
555402,Franco Corsaro
14736,Adrienne D'Ambricourt
14713,Marcel Dalio
14714,Helmut Dantine
14737,Jean De Briac
14738,George Dee
14739,Jean Del Val
14740,Carl Deloro
14741,Joseph DeVillard
14742,Arthur Dulac
14743,William Edmunds
14744,Herbert Evans
14745,Fred Farrell
14746,Adolph Faylauer
14747,O.K. Ford
14748,Martín Garralaga
14750,Gregory Gaye
14751,Gregory Golubeff
14752,Ilka Grüning
14753,Creighton Hale
14754,Winifred Harris
14755,Jamiel Hasson
14756,Arthur Stuart Hull
27274,Olaf Hytten
14757,Charles La Torre
14758,George J. Lewis
81681,Manuel Lopez
81682,Jacques Lory
36180,Lou Marcelle
81684,Tony Martelli
13397,George Meeker
74249,Lal Chand Mehra
81685,Hercules Mendez
65340,Louis Mercier
14759,Torben Meyer
13400,Alberto Morin
14760,Leo Mostovoy
14761,Corinna Mura
14762,Barry Norton
14764,Lotte Palfi Andor
14763,Paul Panzer
14766,Manuel París
14767,Alexander Pollard
14768,Frank Puglia
14769,Georges Renavent
14770,Dewey Robinson
14771,Richard Ryen
14773,Dan Seymour
14774,Lester Sharpe
14775,Dina Smirnova
14776,Gerald Oliver Smith
14777,George Sorel
14779,Geoffrey Steele
14780,Ludwig Stössel
14782,Mike Tellegen
14781,Rafael Trujillo
14783,Jacques Vanaire
14785,Ellinor Vanderveer
14717,Norma Varden
14715,Hans Heinrich von Twardowski
14784,Jack Wise
14786,Wolfgang Zilzer
14787,Trude Berliner
14788,Paul Porcasi
14789,Max Linder
14790,Frank Mazzola
14791,Henry Rowland
14793,Leo White
14792,Paul Irving
14794,Brandon Beach
14795,Victor Romito
22000,Michael Mark
226483,Bhogwan Singh
14797,Michael Curtiz
60017,Judy Garland
53496,Ray Bolger
79549,Jack Haley
79548,Bert Lahr
60995,Margaret Hamilton
53493,Frank Morgan
79551,Clara Blandick
41661,Charley Grapewin
72816,Billie Burke
79553,Pat Walshe
79554,Terry
6134,Adriana Caselotti
34566,Harry Earles
79583,Jerry Maren
79600,Parnell St. Aubin
13768,Billy Bletcher
6139,Pinto Colvig
79550,Charles Becker
74888,Mitchell Lewis
41687,Buster Brodie
79581,Ethelreda Leopold
79565,Billy Curtis
