id,person_id,film_id,character,role
1,14701,tm77588,Rick Blaine,ACTOR
2,14702,tm77588,Ilsa Lund,ACTOR
3,14703,tm77588,Victor Laszlo,ACTOR
4,14704,tm77588,Captain Louis Renault,ACTOR
5,14705,tm77588,Major Heinrich Strasser,ACTOR
6,14706,tm77588,Signor Ferrari,ACTOR
7,1367,tm77588,Ugarte,ACTOR
8,14716,tm77588,Carl,ACTOR
9,14707,tm77588,Yvonne,ACTOR
10,14708,tm77588,Sam,ACTOR
11,14709,tm77588,Annina Brandel,ACTOR
12,14710,tm77588,Berger,ACTOR
13,14711,tm77588,Sascha,ACTOR
14,14712,tm77588,Pickpocket,ACTOR
15,14718,tm77588,Guest at Rick's (uncredited),ACTOR
16,14719,tm77588,Bar Patron (uncredited),ACTOR
17,14720,tm77588,Refugee at Rick's (uncredited),ACTOR
18,14721,tm77588,Overseer (uncredited),ACTOR
19,14723,tm77588,Dealer at Rick's (uncredited),ACTOR
20,14724,tm77588,Gendarme (uncredited),ACTOR
21,14725,tm77588,Waiter at the Blue Parrot (uncredited),ACTOR
22,14726,tm77588,American (uncredited),ACTOR
23,14727,tm77588,Policeman (uncredited),ACTOR
24,14728,tm77588,Native Officer (uncredited),ACTOR
25,14729,tm77588,Baccarat Dealer at Rick's (uncredited),ACTOR
26,5898,tm77588,Bearded Man in Street Watching Plane in Flight (uncredited),ACTOR
27,14730,tm77588,Woman Companion (uncredited),ACTOR
28,14731,tm77588,American (uncredited),ACTOR
29,14733,tm77588,Guest at Rick's (uncredited),ACTOR
30,14734,tm77588,Oriental at Rick's (uncredited),ACTOR
31,14796,tm77588,Commuter at Train Station (uncredited),ACTOR
32,13367,tm77588,Waiter at Rick's (uncredited),ACTOR
33,555402,tm77588,French Police Officer (uncredited),ACTOR
34,14736,tm77588,Concierge (uncredited),ACTOR
35,14713,tm77588,Emil - Croupier at Rick's (uncredited),ACTOR
36,14714,tm77588,Jan Brandel (uncredited),ACTOR
37,14737,tm77588,Orderly (uncredited),ACTOR
38,14738,tm77588,Lt. Casselle (uncredited),ACTOR
39,14739,tm77588,Police Officer (uncredited),ACTOR
40,14740,tm77588,Arab Guest with Fez (uncredited),ACTOR
41,14741,tm77588,Moroccan (uncredited),ACTOR
42,14742,tm77588,News Vendor (uncredited),ACTOR
43,14743,tm77588,Second Contact Man at Rick's (uncredited),ACTOR
44,14744,tm77588,Englishman Questioning Casino's Honesty (uncredited),ACTOR
45,14745,tm77588,Singing Frenchman (uncredited),ACTOR
46,14746,tm77588,Gambler at Rick's (uncredited),ACTOR
47,14747,tm77588,Conspirator (uncredited),ACTOR
48,14748,tm77588,Headwaiter at Rick's (uncredited),ACTOR
49,14750,tm77588,German Banker Refused by Rick (uncredited),ACTOR
50,14751,tm77588,Cashier at Rick's (uncredited),ACTOR
51,14752,tm77588,Mrs. Leuchtag - Carl's Immigrating Friend (uncredited),ACTOR
52,14753,tm77588,Customer (uncredited),ACTOR
53,14754,tm77588,Englishwoman (uncredited),ACTOR
54,14755,tm77588,Muezzini (uncredited),ACTOR
55,14756,tm77588,Elderly Admirer (uncredited),ACTOR
56,27274,tm77588,Pickpocketed Prosperous Man (uncredited),ACTOR
57,14757,tm77588,Italian Officer Tonnelli (uncredited),ACTOR
58,14758,tm77588,Haggling Arab Monkey Seller (uncredited),ACTOR
59,81681,tm77588,Policeman (uncredited),ACTOR
60,81682,tm77588,Moor Buying Diamonds (uncredited),ACTOR
61,36180,tm77588,Narrator (voice) (uncredited),ACTOR
62,81684,tm77588,Bartender (uncredited),ACTOR
63,13397,tm77588,Rick's Friend (uncredited),ACTOR
64,74249,tm77588,Policeman (uncredited),ACTOR
65,81685,tm77588,Arab Guest with Fez (uncredited),ACTOR
66,65340,tm77588,Conspirator (uncredited),ACTOR
67,14759,tm77588,Dutch Banker at Cafe Table (uncredited),ACTOR
68,13400,tm77588,French Officer Insulting Yvonne (uncredited),ACTOR
69,14760,tm77588,Fydor (uncredited),ACTOR
70,14761,tm77588,Singer with Guitar (uncredited),ACTOR
71,14762,tm77588,Gambler at Rick's (uncredited),ACTOR
72,14764,tm77588,Woman Selling Her Diamonds (uncredited),ACTOR
73,14763,tm77588,Paul - Waiter at Rick's (uncredited),ACTOR
74,14766,tm77588,Guest at Rick's (uncredited),ACTOR
75,14767,tm77588,Croupier (uncredited),ACTOR
76,14768,tm77588,Arab Vendor (uncredited),ACTOR
77,14769,tm77588,Conspirator (uncredited),ACTOR
78,14770,tm77588,Bouncer at Rick's (uncredited),ACTOR
79,14771,tm77588,Col. Heinz - Strasser's Aide (uncredited),ACTOR
80,14773,tm77588,Abdul (uncredited),ACTOR
81,14774,tm77588,Refugee (uncredited),ACTOR
82,14775,tm77588,Woman Customer (uncredited),ACTOR
83,14776,tm77588,Pickpocketed Englishman (uncredited),ACTOR
84,14777,tm77588,Native Officer (uncredited),ACTOR
85,14779,tm77588,Customer (uncredited),ACTOR
86,14780,tm77588,Mr. Leuchtag (uncredited),ACTOR
87,14782,tm77588,Gambler (uncredited),ACTOR
88,14781,tm77588,Man Turning Propeller at Airport (uncredited),ACTOR
89,14783,tm77588,Frenchman (uncredited),ACTOR
90,14785,tm77588,Woman Gambler at Rick's Next to Croupier (uncredited),ACTOR
91,14717,tm77588,Wife of Pickpocketed Englishman (uncredited),ACTOR
92,14715,tm77588,German Officer with Yvonne (uncredited),ACTOR
