review_id,imdb_id,review_title,rating_title
1,tt0034583,The Fundamental Things Apply...,10/10
2,tt0034583,HOW TO WATCH THIS MOVIE,10/10
3,tt0034583,".....it's still the same old story, a fight for love and glory, a case of do or die, the world will always welcome lovers, As Time Goes By.""",10/10
4,tt0034583,A masterwork for all time...,10/10
5,tt0034583,"We'll always have ""Casablanca"" ...",10/10
6,tt0034583,Here's looking at Ingrid Bergman,10/10
7,tt0034583,"As time goes by, it's still one of the all-time greats...",10/10
8,tt0034583,Now I finally know why this one is one of the best,10/10
9,tt0034583,A Classic Worth Remembering,10/10
10,tt0034583,A perfect film.,10/10
11,tt0034583,Wartime Themes,10/10
12,tt0034583,A Perfect Film But Let's Clear Up A Few Rumors,10/10
13,tt0034583,Greatest Film Ever for Me,10/10
14,tt0034583,One of the best black and white films I have ever had the privilege of watching!,10/10
15,tt0034583,"Of all the classics in all the films in all the world, this is the best!",10/10
16,tt0034583,Cinema par Excellence!,10/10
17,tt0034583,"""It seems destiny has taken a hand.""",10/10
18,tt0034583,"For all-around entertainment, the best I've ever seen",10/10
19,tt0034583,We'll Always Have Casablanca,10/10
20,tt0034583,"The writing, the character actors, the lighting, and then, for dessert, some romance, too. Oh, and America goes to war at last.",10/10
21,tt0032138,Still Has Its Magic,10/10
22,tt0032138,My childhood favourite!,10/10
23,tt0032138,Timeless classic still entertaining the masses as each new generation comes in.,10/10
24,tt0032138,Perhaps the most well known and watched film in history?,10/10
25,tt0032138,A magical experience.,10/10
26,tt0032138,Flawless,10/10
27,tt0032138,A fantasy rooted in the landscape of your childhood.,10/10
28,tt0032138,Finding Her Way Back Home -- To Our Hearts.,10/10
29,tt0032138,Garland's Oz.,10/10
30,tt0032138,Fantasy Classic,10/10
31,tt0032138,A true cinematic milestone,10/10
32,tt0032138,a milestone,10/10
33,tt0032138,A Great and Powerful Film,10/10
34,tt0032138,An Endurable Fantasy...Will Continue To Last For Many Years Yet...,10/10
35,tt0032138,An enchanting film with flaws that cannot seriously mar its durable delights,10/10
36,tt0032138,I wish I could have followed the yellow brick road.,8/10
37,tt0032138,"Click your heels, fly out of Kansas, and go where nobody mourns the wicked.",10/10
38,tt0032138,Movie that left mark on countless generations,10/10
39,tt0032138,Timeless,10/10
40,tt0033467,"CITIZEN KANE may let some people down, but it's still worth seeing.",10/10
41,tt0033467,"A great piece of cinema, a magnificent example of storytelling",9/10
42,tt0033467,Is a childhood worth sacrificing for wealth,10/10
43,tt0033467,The Citizen Kane of Movies,10/10
44,tt0033467,An Expert On What People Will Think,8/10
45,tt0033467,All That Ballyhoo!,10/10
46,tt0033467,"Why Is ""Citizen Kane"" the Best Film of All Times?",10/10
47,tt0033467,"While it is an example of a film I admire rather than adore, I can see why this film is seen as a classic",10/10
48,tt0033467,"It may not even be the best in history, but it sure is the most revolutionary.",6/10
49,tt0033467,Wonderful Cinematography,10/10
50,tt0033467,The march of time...,7/10
51,tt0033467,A textbook I would have liked to study in school...,10/10
52,tt0033467,"Essential viewing for fans of classic cinema (along with films like The Godfather, 2001: A Space Odyssey, and Babe: Pig in the City).",8/10
53,tt0033467,Citizen Welles,1/10
54,tt0033467,Love The Cinematography; Story Not That Appealing,10/10
55,tt0033467,i hate to say this but i was underwhelmed by this movie,10/10
56,tt0033467,A must film for any film maker,10/10
57,tt0033467,"One of the great films, if not ""the"" greatest.",9/10
58,tt0033467,One of the Greats!,9/10
59,tt0033467,A true original,7/10
60,tt0033467,A very solid movie with some mystery,10/10
61,tt0033467,Giant of its field,10/10
62,tt0037059,"""Don't Tell Me The Lights Are Shining Any Place But There""",9/10
63,tt0037059,Minnelli Directs Garland In MGM Classic,8/10
64,tt0037059,A Feel Good Movie if Ever There Was One,10/10
65,tt0037059,A bit of cake and a song to blow away the wind of change.,9/10
66,tt0037059,There's no place like home...,8/10
67,tt0037059,A Very Pleasant And Easy To Watch Movie,7/10
68,tt0037059,Too sweet? Perhaps...but not too syrupy!,9/10
69,tt0037059,Judy Garland never looked better,10/10
70,tt0037059,There's no place like home,10/10
71,tt0037059,A Musical Classic,7/10
72,tt0037059,Garland Front and Center!,10/10
73,tt0037059,Meet Me in St. Louis is still one of the greatest movie musicals ever made!,9/10
74,tt0037059,A Treasure to Be Enjoyed,9/10
75,tt0037059,A merry little-big charmer of a musical,10/10
76,tt0037059,Meet Me in St. Louis,9/10
77,tt0037059,"""I wish they would all meet at the fair and leave me alone.""",9/10
78,tt0037059,My sentimental favorite,10/10
79,tt0037059,Judy Garland at her best!,8/10
80,tt0037059,Laughs and Tears Rolled into One,10/10
81,tt0037059,There was no MGM actress like Judy Garland,8/10
82,tt0037059,Remarkable Achievement in Musical Comedies and Film,9/10
83,tt0037059,How have I missed seeing this film?,6/10
84,tt0037059,One of my all time favorite films and maybe my all time favorite Christmas song.,8/10
85,tt6422744,My favourite way to kill time.,8/10
86,tt0031381,Georgia on my mind,10/10
87,tt0031381,Scarlett's So High Spirited And Vivacious,10/10
88,tt0031381,About as good as it gets in 1930s Hollywood,10/10
89,tt0031381,The tragedy of Scarlet the wise 2020 review,10/10
90,tt0031381,A Tempestuous Hurricane of a Tornado...,9/10
91,tt0031381,"A Potpourri of Vestiges Review: An American magnum opus which must be watched and often, and by those who understand cinema",10/10
92,tt0031381,"Margaret Mitchell won the Pulitzer Prize for her novel on May 3rd, 1937",9/10
93,tt0031381,Miracle in Film Making - Can't believe they did it in 1939!,10/10
94,tt0031381,All-time classic,9/10
95,tt0031381,"A sweeping epic film, that in my eyes is outstanding!",10/10
96,tt0031381,A rich romantic film...,9/10
97,tt0031381,A universal masterpiece and one of the few privileged films where every scene is a classic on its own ...,10/10
98,tt0031381,Even after years of being made.. it is good!,8/10
99,tt0031381,Golden age of Hollywood (even with the whitewashing),10/10
100,tt0031381,One of the Greatest,10/10
101,tt0031381,There's never going to be a movie like this,10/10
102,tt0031381,Love in troubled times,9/10
103,tt0031381,Gone With The Wind,10/10
104,tt0031381,A great American classic,10/10
105,tt0031381,Entertainment,10/10
106,tt0031381,Scarlet's eyes,8/10
107,tt0031381,An immortal and towering achievement,8/10
108,tt0031381,Winds of war,9/10
109,tt0031381,Gone with the Wind,10/10
110,tt0031381,My heart!,8/10
111,tt0038355,"""Over Here, Canino""",9/10
112,tt0038355,This was the film in which Bogart became Marlowe for all time...,8/10
113,tt0038355,Lots of murders never looked and sounded to good,9/10
114,tt0038355,Interesting DVD Release of the Proto-Noir Classic,8/10
115,tt0038355,"Complex plot, but well written and well scripted with tough dialogue and great characters",8/10
116,tt0038355,Just Ignore That Discombobulated Plot,8/10
117,tt0038355,"""My, my, my, such a lot of guns around town and so few brains.""",8/10
118,tt0038355,Classic private eye tale with Bogart and Bacall in fine form,8/10
119,tt0038355,If you concentrate on the plot you miss the big picture,9/10
120,tt0038355,My head's still spinning,10/10
121,tt0038355,Classic Film-Noir. Murder and mayhem; and a private dick that doesn't quit.,9/10
122,tt0038355,Splendid Film-Noir,9/10
123,tt0038355,I collect blondes and bottles...,9/10
124,tt0038355,A confusing mess of a plot...but who cares!?,9/10
125,tt0038355,Chaos of Clouds,10/10
126,tt0038355,Timeless,4/10
127,tt0038355,Classic Noir,10/10
128,tt0038355,Just classic...,4/10
129,tt0025878,"The first of the series, and one of the best",8/10
130,tt0025878,William Powell and Myrna Loy are a fun couple,8/10
131,tt0025878,"Waiter, will you serve the nuts? ... I mean, will you serve the guests the nuts?",9/10
132,tt0025878,Great fun--and probably the best of the genre,9/10
133,tt0025878,The first in a great series of mystery films,10/10
134,tt0025878,Sleuthing Among The Rich and Famous,10/10
135,tt0025878,Great fun,8/10
136,tt0025878,Nick and Nora drink a little...,8/10
137,tt0025878,Puts modern movies to shame,10/10
138,tt0025878,"'The Thin Man' is still as fast-paced, stylish, sexy and hilarious as it ever was",8/10
139,tt0025878,"Classy, sassy fun",9/10
140,tt0025878,"""Now a Manhattan you always shake to fox-trot time, a Bronx to two-step time, a dry martini you always shake to waltz time.""",9/10
141,tt0025878,"""Hey, would you mind putting that gun away? My wife doesn't care, but I'm a very timid fellow.""",10/10
142,tt0025878,Can you say all-around classic?,8/10
143,tt0025878,One of the booziest films in cinema history,9/10
144,tt0025878,"Witty, Delightful and Charming",8/10
145,tt0025878,One of the funniest films ever made...,10/10
146,tt0025878,I'll Drink to That!!,8/10
147,tt0025878,Great Classic Film,10/10
148,tt0025878,Delightful mystery,8/10
149,tt0025878,Nora's best film.,10/10
150,tt0025878,An Unbeatable Pair,10/10
151,tt0037913,Joan Crawford's Signature Role,8/10
152,tt0037913,Film Noir Classic,7/10
153,tt0037913,"Excellent characters, excellent story",10/10
154,tt0037913,What's a mother to do?,9/10
155,tt0037913,A Truly Great Film Noir Masterpiece,8/10
156,tt0037913,"Personally, Veda's convinced me that alligators have the right idea. They eat their young.",9/10
157,tt0037913,'Please Don't Tell What Mildred Pierce Did!',8/10
158,tt0037913,"Veda, does a new house mean so much to you that you would trade me for it?",9/10
159,tt0037913,Melodramatic and proud of it...,8/10
160,tt0037913,One of my all time favourites,10/10
161,tt0037913,Funny how much I enjoy this film with only two really likable characters in it...,10/10
162,tt0037913,Superb and completely deserving of its classic status,8/10
163,tt0037913,Top 10 Films of all time,8/10
164,tt0037913,"Joan Crawford wins Best Actress, but Eve Arden has the best line",9/10
165,tt0037913,"""Personally, Veda's convinced me that alligators have the right idea. They eat their young""",9/10
166,tt0037913,Crawford's tour-de-force is a real stunner.,8/10
167,tt0037913,"Mama, You're a Frump",8/10
168,tt0037913,"Murder, Materialism & Maternal Instincts",10/10
169,tt0037913,Classic exposé of sou-cal working woman's life,8/10
170,tt0037913,unlikely to disappoint anyone,7/10
171,tt0037913,Great acting....but beware!,10/10
